title_y,cluster_id
Bridge of Spies,1
Behind Enemy Lines,1
Get Him to the Greek,1
Shall We Dance?,1
Small Soldiers,1
Spawn,1
The Count of Monte Cristo,1
The Lincoln Lawyer,1
Unknown,1
The Prestige,2
Horrible Bosses 2,1
Escape from Planet Earth,2
Apocalypto,1
The Living Daylights,1
Predators,1
Legal Eagles,4
Secret Window,1
The Lake House,1
The Skeleton Key,1
The Odd Life of Timothy Green,1
Made of Honor,1
Jersey Boys,1
The Rainmaker,1
Gothika,1
Amistad,3
Medicine Man,0
Aliens vs Predator: Requiem,1
Ri¢hie Ri¢h,1
Autumn in New York,1
Music and Lyrics,1
Paul,1
The Guilt Trip,0
Scream 4,1
8MM,1
The Doors,0
Sex Tape,1
Hanging Up,1
Final Destination 5,1
Mickey Blue Eyes,4
Pay It Forward,1
Fever Pitch,1
Drillbit Taylor,1
A Million Ways to Die in the West,1
The Shadow,0
Extremely Loud & Incredibly Close,1
Morning Glory,1
Get Rich or Die Tryin',1
The Art of War,0
Rent,0
Bless the Child,0
The Out-of-Towners,1
The Island of Dr. Moreau,1
The Musketeer,0
The Other Boleyn Girl,1
Sweet November,1
The Reaping,1
Mean Streets,3
Renaissance Man,0
Colombiana,1
Quest for Camelot,2
City By The Sea,0
At First Sight,4
Torque,1
City Hall,4
Showgirls,0
Marie Antoinette,1
Kiss of Death,0
Get Carter,1
The Impossible,1
Ishtar,0
Fantastic Mr. Fox,2
Life or Something Like It,0
Memoirs of an Invisible Man,0
Amélie,2
New York Minute,4
Alfie,1
Big Miracle,0
The Deep End of the Ocean,0
FearDotCom,0
Cirque du Freak: The Vampire's Assistant,1
Duplex,2
Soul Men,4
Raise the Titanic,4
Universal Soldier: The Return,0
Pandorum,1
Impostor,0
Extreme Ops,0
Just Visiting,4
Sunshine,1
A Thousand Words,1
Delgo,2
The Gunman,1
Stormbreaker,0
Disturbia,1
Hackers,0
The Hunting Party,4
The Hudsucker Proxy,0
The Warlords,0
Nomad: The Warrior,0
Snowpiercer,2
A Monster in Paris,2
The Last Shot,4
The Crow,1
Baahubali: The Beginning,3
The Time Traveler's Wife,1
Because I Said So,1
Frankenweenie,2
Serenity,1
Against the Ropes,0
Superman III,1
Grudge Match,1
Red Cliff,2
Sweet Home Alabama,1
The Ugly Truth,1
